﹟,Glide ﹟,Start Date,End Date,Country,Area (km²),Source,Main Cause,Fatalities,Displaced,Severity,Flood impact index
3527,FL-2009-000155-LAO,8/10/09,8/11/09,Lao People&#039;s Democratic Republic,"24,950",0,Heavy rain,10,0,1.0,4.7
1113,,9/27/96,10/4/96,"Cambodia,Lao People&#039;s Democratic Republic","232,590",News,Monsoonal rain,46,1000,1.0,6.3
998,,9/18/95,9/25/95,Lao People&#039;s Democratic Republic,"72,536",News,Monsoonal rain,0,40000,1.0,5.8
543,,7/15/91,7/22/91,Lao People&#039;s Democratic Republic,"63,859",News,Heavy rain,16,800,1.0,5.7
