North,East,flood,aspect,curvature,dtr,elevation,Lulc,ndvi,rainfall,slope,Soil,spi,twi
2058191.718,191996.7031,0,2,1,10,2,1,10,7,3,1,2,8
2060559.137,199843.4247,0,5,3,8,2,1,10,8,7,2,7,3
2066243.992,186840.1317,0,3,3,9,1,1,8,7,10,1,10,8
2065378.963,190602.2863,0,4,3,9,2,5,9,7,10,3,9,3
2058402.704,182033.5087,0,2,2,10,1,2,8,6,3,3,3,3
2051697.626,181042.1966,0,9,1,10,2,1,5,6,11,2,9,2
2063706.224,201009.2812,0,5,3,7,2,1,10,9,4,1,3,3
2062807.098,217993.8287,1,4,1,1,1,5,5,8,3,1,2,4
2063565.765,214698.2174,1,7,2,1,1,4,4,9,2,1,10,9
2062306.415,216199.9944,1,7,1,3,1,1,8,8,1,1,9,9
2062006.545,210568.5196,1,8,2,1,1,2,6,8,2,1,1,5
2052662.339,231795.4442,1,5,1,4,1,1,10,6,1,1,3,9
2076503.418,208443.8878,0,7,2,7,2,1,9,10,10,3,7,2
2076542.104,212801.5478,0,9,1,8,1,1,5,10,11,4,9,2
2058918.548,229925.4435,1,8,3,1,1,5,8,8,5,2,2,3
2060178.363,224935.3649,1,10,1,1,1,2,7,9,3,5,5,6
2055611.254,236510.2591,1,8,3,1,1,2,8,7,2,1,10,5
2063389.611,253341.1401,1,3,2,5,2,6,10,8,2,5,6,7
2071522.563,241227.4303,1,3,2,8,1,1,9,8,2,5,2,7
2068145.745,245246.8324,1,5,2,9,1,1,9,8,4,5,9,8
2061871.063,235729.825,1,10,3,6,1,1,9,8,5,1,7,5
2073710.345,242031.4372,1,5,3,7,1,1,10,9,5,3,3,3
2073214.536,240238.5136,1,8,3,7,1,7,9,9,3,5,1,5
2069150.385,241829.2251,1,4,1,9,1,7,4,8,3,5,6,7
2067333.994,246596.9798,1,9,3,9,1,1,4,7,1,5,9,10
2072805.212,239000.8209,1,9,1,7,1,7,3,9,2,5,9,10
2057033.316,243646.1681,1,1,2,7,1,7,2,6,1,5,1,10
2062242.604,246210.2959,1,5,2,8,1,7,5,7,1,3,5,7
2060431.801,245762.5603,1,10,1,8,1,1,10,7,2,3,5,5
2056740.725,236756.621,1,7,1,1,1,2,7,7,3,1,2,5
2063457.394,256938.6124,1,1,2,2,1,7,2,8,1,5,1,10
2071541.048,244379.0421,1,9,1,9,1,7,8,8,5,3,4,3
2070040.441,237160.2329,1,10,3,8,1,1,10,9,2,5,2,6
2059568.113,242355.3498,1,1,2,7,1,7,2,7,1,5,3,10
2062381.783,250030.3041,1,1,2,6,1,7,2,7,1,5,2,10
2054548.375,257445.747,1,2,3,6,1,7,8,6,1,5,1,6
2055577.992,247229.149,1,9,3,5,1,1,10,6,3,3,2,4
2074169.196,238749.8016,1,1,1,6,1,7,5,9,2,5,2,6
2064219.841,238302.056,1,3,1,7,2,1,10,8,6,1,10,9
2051869.623,242197.292,1,1,2,3,1,7,2,6,1,5,2,10
2064715.74,244919.0707,1,2,3,9,1,1,10,8,1,3,1,6
2067864.907,238549.3239,1,1,2,9,1,7,2,9,1,5,1,10
2061080.807,244007.7709,1,1,2,8,1,7,2,7,1,5,1,10
2074515.998,240191.6002,1,7,1,6,1,7,4,9,1,5,5,9
2072901.502,255288.9722,0,9,3,8,6,1,7,8,10,2,9,3
2071660.351,254551.2814,0,7,3,8,7,1,8,8,10,2,5,2
2069882.08,255269.7584,0,4,3,7,7,1,8,8,10,2,8,2
2066002.121,261603.8286,1,5,3,2,1,1,4,7,1,2,1,9
2070567.7,265067.1347,1,8,1,1,1,7,9,7,4,2,4,9
2053693.13,278578.0638,1,1,1,4,3,1,9,7,6,3,8,6
2055036.387,266768.7843,1,7,1,9,2,1,10,6,5,5,6,5
2054120.417,262995.9235,1,7,1,9,1,4,7,6,2,5,4,8
2068226.724,262751.3814,1,1,2,2,1,7,3,8,1,5,1,10
2059265.907,260314.5763,1,9,1,6,2,2,7,7,5,2,8,4
2052425.195,263277.7259,1,4,2,9,1,7,10,7,4,5,5,4
2076411.317,262651.4933,0,1,3,5,6,1,7,8,10,2,10,2
2071965.381,263814.8005,0,5,1,4,4,1,10,8,9,5,10,5
2071645.341,276813.0691,0,9,1,4,6,1,6,7,10,2,9,2
2072029.925,274804.2123,0,8,1,3,5,1,8,7,11,2,10,3
2069083.344,267319.734,0,8,2,4,5,1,9,7,10,2,10,9
2066961.598,281901.2047,0,6,2,7,9,1,9,7,10,2,9,3
2067001.63,274008.0515,0,4,1,4,8,1,10,7,10,2,7,3
2066822.316,269913.3737,0,5,3,6,8,1,9,7,10,2,5,2
2067016.963,277471.2219,0,3,1,4,8,1,10,7,10,2,8,3
2066632.424,272325.0737,0,6,1,5,8,1,9,7,10,2,10,4
2065949.495,267991.4397,0,7,3,6,5,1,10,7,3,2,9,9
2064534.623,279828.3502,0,6,1,7,4,1,8,7,10,2,10,4
2062109.646,266388.7904,0,7,1,7,4,1,8,7,10,2,10,5
2061121.424,268502.0236,0,3,3,8,5,1,10,7,10,2,9,3
2059717.741,263000.807,0,10,3,7,4,1,8,7,10,2,9,4
2075767.157,268131.3238,0,10,1,4,4,1,10,7,3,2,2,5
2067072.985,287157.1311,0,5,1,7,5,1,10,7,10,2,9,3
2067214.122,288831.417,0,7,3,7,6,1,10,6,10,2,8,4
2069509.118,285863.5918,0,9,3,5,6,1,9,7,3,1,3,4
2066797.456,292858.921,0,3,1,5,7,1,10,7,11,2,10,5
2066100.167,284026.222,0,6,1,7,8,1,10,7,10,2,10,2
2065596.446,286223.4727,0,3,1,7,7,1,10,7,10,2,9,2
2058984.755,289983.2524,0,7,2,5,3,1,10,6,3,1,2,4
2090701.793,202947.1566,0,4,2,6,2,7,8,9,10,3,6,3
2078550.133,198441.9756,0,9,3,3,5,1,5,9,10,4,9,3
2077082.551,191667.4767,0,1,1,6,2,1,6,7,4,1,5,5
2100080.076,205243.6599,0,10,3,6,3,1,9,9,2,2,3,6
2084932.922,229187.6554,1,4,1,1,1,1,5,10,3,1,10,10
2092559.3,231838.6763,1,10,2,2,1,2,7,10,1,1,5,8
2094886.352,230973.2478,1,9,1,1,1,4,8,10,1,3,10,9
2086586.424,231061.2111,1,2,2,1,1,7,5,10,1,3,10,8
2092199.543,231275.4316,1,7,3,1,1,5,4,10,1,2,2,10
2096777.669,230149.7931,1,9,3,1,1,1,4,10,2,3,1,9
2094438.574,230478.1835,1,3,1,2,1,5,7,10,1,3,1,9
2093713.23,230084.4965,1,8,1,2,1,5,7,10,1,2,2,8
2089730.051,228803.5478,1,2,2,4,1,1,9,10,2,2,2,6
2093404.085,231225.1658,1,4,3,2,1,2,7,10,1,2,1,6
2090481.597,230946.6769,1,8,3,2,1,2,6,10,1,1,6,9
2089807.21,231215.1913,1,8,3,3,1,2,6,10,1,1,1,8
2090278.452,231790.8623,1,9,2,3,1,2,7,10,1,1,5,10
2092722.596,230918.0724,1,5,2,2,1,5,7,10,2,2,2,7
2086160.463,230288.229,1,2,3,1,1,1,7,10,2,1,10,9
2090970.335,231166.137,1,2,3,1,1,7,7,10,2,1,3,8
2089476.993,232178.0729,1,7,1,3,1,2,6,10,1,1,1,10
2086232.576,232129.0117,1,10,3,1,1,2,6,10,1,3,1,9
2091546.648,231349.5817,1,10,1,1,1,2,6,10,1,1,2,10
2089073.572,231451.7828,1,10,1,4,1,5,8,10,1,1,2,8
2085555.274,230020.0304,1,6,2,1,1,7,4,10,5,1,5,3
2089587.886,231774.2193,1,8,3,3,1,2,6,10,1,1,3,9
2084436.642,228293.4172,1,5,1,1,1,1,4,10,1,1,1,7
2090747.834,229942.7145,1,4,1,3,1,5,8,10,2,2,2,7
2090451.054,229113.9869,1,10,3,4,1,5,6,10,1,1,1,7
2089753.366,230361.0387,1,3,3,3,1,2,8,10,2,1,1,7
2089399.516,230731.4045,1,4,3,4,1,5,6,10,1,1,3,9
2086273.132,230664.8541,1,3,3,1,1,1,8,10,3,1,2,4
2089699.975,229912.0125,1,3,1,4,1,2,7,10,1,1,1,10
2095198.462,231361.8223,1,8,3,2,1,4,7,10,2,2,2,7
2100885.24,218081.9035,0,3,3,9,2,5,10,10,11,2,9,2
2100598.523,220033.785,0,4,1,8,4,1,10,10,10,2,6,2
2089047.093,213599.6153,0,6,1,10,2,1,10,10,5,2,10,3
2099797.709,229590.4039,0,1,1,2,3,1,7,10,10,2,10,7
2098639.569,222939.7987,0,2,1,7,5,1,10,10,10,2,9,6
2099355.149,209064.4965,0,5,3,8,2,1,10,9,6,2,7,4
2098795.045,220613.5972,0,9,3,8,3,1,7,10,10,2,6,2
2097335.004,225005.3372,0,5,3,6,5,1,10,10,10,2,10,6
2097655.287,227078.5102,0,4,1,5,4,1,10,10,11,2,10,2
2097401.209,228830.5278,0,8,1,3,2,1,7,10,10,2,9,4
2097087.5,221676.1671,0,7,1,8,2,2,10,10,10,2,10,5
2097805.474,226021.6914,0,9,1,5,5,1,5,10,11,2,9,2
2097736.654,229844.2521,0,5,2,2,3,1,9,10,10,2,8,2
2095892.63,219407.3184,0,2,3,9,4,1,8,10,11,1,7,2
2095528.275,225432.0505,0,6,3,6,3,1,9,10,10,2,9,4
2095377.542,218157.4296,0,5,1,9,5,1,10,10,11,1,10,2
2095100.887,229686.2175,0,2,3,3,2,1,9,10,10,2,5,4
2094433.083,219948.9478,0,3,1,9,5,1,9,10,10,1,9,3
2094288.966,226614.1627,0,7,1,6,2,1,8,10,10,2,9,2
2093604.655,219306.3763,0,9,3,9,6,3,5,10,10,1,5,2
2092573.348,228802.6328,0,1,3,4,2,1,8,10,10,1,7,2
2092276.657,220782.5873,0,2,3,9,3,1,9,10,10,1,8,2
2091191.766,229428.8434,0,5,3,3,2,1,8,10,11,1,9,2
2090852.186,221182.4927,0,1,1,8,2,1,8,10,10,2,10,5
2089686.268,223594.1758,0,9,1,7,4,1,7,10,10,3,7,2
2089506.148,224642.1566,0,1,1,7,2,1,5,10,10,3,9,3
2089601.08,222959.6303,0,6,3,7,3,1,7,10,11,3,9,2
2088072.099,209356.7542,0,5,3,9,2,1,10,10,5,2,7,6
2088491.326,227953.4747,0,1,2,5,3,1,8,10,10,3,9,3
2080071.168,212554.4211,0,1,3,9,4,1,7,10,11,2,9,2
2078012.433,215069.6757,0,3,3,7,3,1,9,10,10,2,5,2
2082323.257,217501.4323,0,1,3,8,2,1,9,10,4,3,5,3
2078873.355,218574.2646,0,7,3,7,1,5,6,10,1,3,7,6
2096756.51,223519.4916,0,6,1,7,3,1,9,10,8,2,10,9
2090990.869,211655.2866,0,4,1,9,3,1,10,10,4,2,3,9
2086093.708,232442.663,1,3,1,1,1,2,4,10,1,3,1,8
2086468.719,235070.0898,1,10,1,1,1,5,9,10,1,3,1,7
2091743.629,232522.1872,1,7,3,2,1,4,7,10,1,1,1,7
2086756.824,235860.4944,1,5,1,3,1,2,7,10,2,1,8,10
2086179.649,236344.6246,1,2,1,3,1,6,9,10,2,1,10,7
2085989.374,235328.19,1,8,2,1,1,1,7,10,2,3,3,9
2088260.47,234472.6819,1,2,3,1,1,2,6,10,2,1,10,10
2088459.589,235131.0979,1,10,3,2,1,2,9,10,1,1,1,7
2087919.017,235522.4889,1,8,1,2,1,2,5,10,2,1,6,8
2089137.275,233464.5946,1,1,2,1,1,2,7,10,1,1,1,10
2090316.899,233123.2485,1,4,3,1,1,5,8,10,1,1,5,8
2087831.705,235981.8911,1,5,1,3,1,2,6,10,2,1,3,8
2085408.516,234435.1705,1,6,3,1,1,1,6,10,2,3,9,6
