scoring,best_cv_score,accuracy,precision,recall,f1_score,kappa,auroc,mse,rmse,tn,fp,fn,tp,n_estimators,max_depth,max_features,min_samples_leaf,min_samples_split
accuracy,0.9593265993265992,0.9487179487179487,0.9402985074626866,0.9692307692307692,0.9545454545454546,0.8957528957528957,0.98698224852071,0.05128205128205128,0.22645540682891915,48,4,2,63,200,10,2,1,5
f1,0.9565490196078432,0.9401709401709402,0.9393939393939394,0.9538461538461539,0.9465648854961832,0.8786127167630058,0.9866863905325444,0.05982905982905983,0.24459979523511427,48,4,3,62,100,10,4,2,2
roc_auc,0.9944998105342933,0.9401709401709402,0.9393939393939394,0.9538461538461539,0.9465648854961832,0.8786127167630058,0.9887573964497041,0.05982905982905983,0.24459979523511427,48,4,3,62,200,10,4,1,2
