feature_group,number_of_features,features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std
All 11 Features,11,"elevation, slope, aspect, curvature, twi, spi, dtr, Soil, ndvi, Lulc, rainfall",0.9512996632996632,0.02852086459130714,0.9597596002975313,0.047878683880536156,0.9395076923076924,0.038046300040155835,0.9484339394727853,0.029661986241631903,0.9925151193633952,0.006604429143077841
Top 8 Features,8,"elevation, slope, twi, Lulc, spi, ndvi, dtr, rainfall",0.9476228956228955,0.02937834676542829,0.9541654498757947,0.05109485843248927,0.9379692307692309,0.042326921504211336,0.9445925193504707,0.030613485457140953,0.991685562713149,0.007091721434460469
Top 6 Features,6,"elevation, slope, twi, Lulc, spi, ndvi",0.9432188552188551,0.031591590513724385,0.949394447098795,0.05047790704448883,0.9332923076923078,0.04946268451836509,0.9396877938756748,0.033926609063474826,0.9890366805608184,0.008725748254583507
Top 4 Features,4,"elevation, slope, twi, Lulc",0.9314208754208755,0.03272543260127313,0.9361047212047214,0.0606478718768444,0.9239384615384617,0.04578742753977405,0.9279226605782518,0.03339536787046687,0.9856226222053808,0.01074119387938933
Top 2 Features,2,"elevation, slope",0.9025993265993266,0.037456882065047124,0.9079320949216354,0.0682350634125339,0.8928615384615385,0.055507351184351794,0.8975283215787765,0.03786187885737815,0.9833785145888595,0.011910097822176793
