strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std
No Imbalance Correction,0.9512996632996632,0.02852086459130714,0.9597596002975313,0.047878683880536156,0.9395076923076924,0.038046300040155835,0.9484339394727853,0.029661986241631903,0.9925151193633952,0.006604429143077841
Class Weight - Balanced,0.9483367003367004,0.031344190815940844,0.9529953237056685,0.05404495363905045,0.9411076923076923,0.039680427560208405,0.9456804691118944,0.032275526248889984,0.9929461159530125,0.006037142306294462
SMOTE,0.9512996632996632,0.03170936159532822,0.9582923638302948,0.05079725852087614,0.9410461538461539,0.03964987594837963,0.9485003811437933,0.03303925887009136,0.9919694581280787,0.006445538179394842
