model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std
Original Baseline RF,0.9454006734006734,0.029301160653154832,0.9507491810871121,0.04882531671268125,0.9364307692307693,0.04071251788364404,0.942330157634296,0.030531867104428158,0.9899455854490339,0.008285791359582457
Tuned RF - No SMOTE,0.9512996632996632,0.02852086459130714,0.9597596002975313,0.047878683880536156,0.9395076923076924,0.038046300040155835,0.9484339394727853,0.029661986241631903,0.9925151193633952,0.006604429143077841
Tuned RF + SMOTE,0.9542626262626263,0.03298957940138106,0.9630745372124683,0.04992542349127522,0.9425846153846155,0.05259958377228617,0.9511404297739742,0.03572058068624218,0.9938815460401668,0.005768056154414707
